name,hair,hair_details,comments
huA1D523,brown,Closer to wood than chocolate,"I was blonde until I was 4, then it darkened quickly."
hu78E4B0,brown,medium brown with redish tint especially shown in sunlight,"I was born with very dark hair, transitioned to a nearly platinum blonde and gradually transitioned through dark shades of blonde until resting at my current brown shade. I am now at the very beginning stages of graying. I'm not sure if this is relevant, but my mother (with dark brown hair) grayed prematurely. "
hu9A103C,gray,gray and brown...brindled is a good word,"I was born quite blond, and had very light hair through childhood--at least in part due to bleaching by the sun.  By my 20s, my hair was light-medium brown, and stayed that way until I started graying in my 50s."
hu390F07,blonde,dark blonde,"much whiter, lighter blonde as a child"
huE9D25C,brown,,
hu037E20,brown,,
hu776C1D,gray,Dirty blonde with some graying now. ,"I was born with dirty blonde hair, as they call it. Not brown, not blonde, though I have a sister born with very blonde hair. Now I color it. But it has some graying in it at 53."
hu646527,brown,,
hu5408F9,brown,rich brown,
hu3C8DE9,blonde,dark blonde,
huF40F46,brown,dark brown,
hu6A3E89,,,
hu35389E,brown,light brown,
huD5DD1B,brown,dark,
huF85C6E,brown,bROWN,
hu50D3EC,brown,,
hu094BE5,brown,brown,now gray.
hu365511,brown,,
huE3A56D,brown,,
hu3384B3,brown,light to medium brown,"When I was young, my hair was a very light, almost white blonde.  It started to darken slightly each year beginning when I was in elementary school, and by the time I was in high school it was a very dark blonde/light brown color.  It has continued to darken slightly and is now a light to medium brown."
hu9C0B77,brown,dark brown,lighter with a reddish tint at birth
huB573AE,blonde,strawberry blond,Born with very red hair but it was strawberry blond by age 10.
huEF6271,brown,light brown,
huBADF69,brown,Dirty Blonde - brown/blonde mix.,"When I was younger I had platinum blonde (almost white) hair. But as I grew older it turned into a brown, now it's a light brown and blonde."
hu69BD84,brown,"Dark brown, natural red high high lights",
hu5C5672,blonde,,
hu68B66A,gray,brown gray,
huE3FBCD,brown,,Turning grey
huB4C1A1,red,Fine,
huE8E021,brown,,blonde pre-teens
hu8E6CC6,brown,,blonde at birth
huD649F1,blonde,Medium blond with red highlights. As a child 'strawberry blond.',"I was a 'towhead' blonde - nearly white blond as a young child. Then settled to strawberry blond. That's continued, now mixed with gray. 

My hair is naturally straight. "
hu065B67,brown,light brown,my hair was blond and curly until about age 3-5. Now it's light brown and straight.
huD22AB8,brown,medium brown with some gray,
hu5A7A1A,gray,,
huA38896,brown,,
hu96FC5C,brown,brown with red highlights,"Beard is red, noticeably more red than hair"
hu66E27A,brown,dark,
hu4E82B4,blonde,Dishwater blonde,"Hair was very light blonde when I was young, now it is almost brown."
huE11C66,brown,dark brown,
huD59A33,brown,Medium brown,"I was born with a darker head of hair. Overtime, my hair became a medium-dark brown. Upon closer inspection, I have found a few completely blond and black coarse hair strands. "
hu5F0DCB,black,black,
hu5917F3,brown,light brown,"Blonde as a child.  Has darkened, now dark blonde, not really blonde or brown.  I put brown on my drivers license but it's a different color from those who are born brown haired,"
huB1D7BD,red,strawberry blonde,My hair color was more red in childhood and becomes more blonde in the sun
hu3F83D2,brown,Light Brown,Blonde when I was young.
hu5FD75D,brown,light brown,
hu442A0A,gray,grey-sliver,
hu96713F,brown,shot through with gray hair,"started going gray at 18, has become more pronounced in the last few years"
hu466B05,blonde,dark blonde,"born with light blonde hair, had darkened to a golden blonde before I was 5 and slowly darkened from about age 12 to its current dark blonde color by the time I was 18"
hu6157D1,brown,very dark brown,"mousey, thin, and straight hair "
huB1F492,blonde,strawberry blonde ,"Hair has darkened some with age, but is still blonde/red. It typically gets sun bleached in the summer and lightens a shade or two. At age 50, I have only found one grey hair -- maternal size of family does not go grey. My 80-year-old mother has primarily brown hair that is darker than 20 years ago. She has very little grey hair. It is said that my great-grandmother had dark brown hair until her death in her 80s."
hu2F62E7,,brown with gray,born with blonde hair turned brown and is now graying.
huE9E777,blonde,"darker blonde, dirty blonde","Healthy, course, grows fast, have ""widows peaks"", falls out when I am super over stressed but returns when the stress is less."
huEAE6C8,,"Blonde as child, darkened through childhood to brownish greyish, silver grey hairs appeared in early teens, an occasional red hair.","Very coarse hair that collects a film (no product).  Apparently smells strongly ""like hair"" and it resists dye."
hu3D46CB,black,I have red highlights--you can only see them in the sun.,My mother's hair turned brown after she had her first baby. Apparently that's common on her father's side. But I took after my father so my hair was black all the way through.
hu647F28,brown,brown,
hu2AB2C8,red,red,
hu735D1C,brown,auburn brown,
hu8E82F1,brown,Brown,
hu97745F,blonde,"dark blonde, very light blonde until puberty",
hu7FC773,brown,Dirty Blonde/Light Brown with gray,Born as Blonde as you get
hu3C0577,blonde,mixed hair color dark blonde with hint of red,I was born with very dark brown/black hair
hu3C0577,blonde,dark blonde with hint of red,was born with black hair which turned blonde within a few months
hu48E77B,brown,medium brown ,very thin and straight
huA7FD13,brown,,
hu3C6B72,blonde,,
hu60EF43,brown,,
huD588DE,brown,brown,
hu9E356F,gray,,
huC4C686,brown,,
hu1E14AB,brown,Dark brown,
hu79C24D,black,"Black, but in bright sunlight brown with visible reddish streaks",
hu52F6FF,brown,"light brown, with a tint of blonde and red","When I was a child, I had light blonde hair. It became darker around age 7 or so. It's still lighter than either of my parents' hair. When my hair is exposed to sunlight, it becomes much lighter."
hu6F6F6C,brown,Brown with gray at hairline,Born with black hair that fell out and was replaced with light brown hair that darkened at about age 12 and then started graying about age 39
huC1BF3B,brown,the quintessential mousey brown ,"When I was younger, teens and 20's it was nearly the color of spun gold, as I got older, it darkened "
hu925B56,gray,"When last I saw it without dye, it was silver.","My hair was nearly gold until I was 5. It slowly darkened to medium-dark brunette with reddish-gold (more gold than reddish) highlights until I found my first grey hair on my 18th birthday. My family does not normally grey early, but I had undiagnosed and untreated Hashimoto's/hypothyroidism. Even with the early greys, I did not need to dye my hair until I was about 35."
hu020262,brown,dark brown,"my hair was dark when I was born, blonde when I was a young child, and has steadily darkened since then. It was medium brown in my university years."
hu606C9D,black,,
hu5C39A6,brown,Light Brown,
hu315025,brown,dark brown,
hu1A4F2E,black,black; not blue black,
hu8016AE,brown,,
hu016B28,black,brown with grey in the temples,
huE30103,black,Black with a significant amount of white mixed in,
huC9DD1C,blonde,Fine strands but a lot of them,Tends to be mousy underneath but gets lighter in the sun easily.
huED93F6,red,strawberry blonde,"much lighter than when younger but no gray or white.  often described as blonde now, but still reddish.  was copper when younger; not deep or more reddish color."
huCD8F76,blonde,dark blonde,
huADB22D,gray,gray,Born blond hair. Blond/brownish in adulthood. Gray in old age.
huA84F63,brown,medium brown with red highlights,used to have gold highlights as a child. now red.
hu91ACB9,brown,medium brown with grey streaks,
hu2F1691,brown,light brown,
hu175AB0,brown,Light brown,"My hair was a very light blonde growing up, and got a bit darker as I got older starting at about age 4. "
hu175AB0,brown,Light brown,"My hair color was very light blonde, and started to darken around age 4. "
huE81979,blonde,,
hu79F922,blonde,"""Blond""","Towhead at age 2 to age 12. Now mousy, formerly blond, light brown. Gray around edges."
huEFBA44,brown,Dark brown,
huFBFF8B,brown,Light brown,"My hair was black when I was born, then became blond.  It has slowly darkened since my late teens and is now a lighter brown."
hu3CCE4B,brown,ash brown,
huEFD66A,brown,light brown,I was a toehead as a kid
hu21815E,brown,Brown with blonde highlights throughout,Extremely thick and lots of hair
hu45515D,brown,"dirty blonde: brown, blonde, and some silver/white",Born with blonde hair
hu25D82D,brown,brown to light brown,
hu5D0BAB,brown,Dark brown,My hair was sandy brown when I was a young child and darkened to its current color by the time I was in school.
hu18D324,red,dark reddish brown,
huAF3C63,black,black,darker black than my siblings
hu6FECE9,brown,dark brown,
hu2C915E,brown,Medium Brown that will naturally lighten with sun exposure,I was born very light blonde hair. My hair turned brown around age 5.
hu9B93D0,,Grayish brown,Brown hair that runs to low-pigment grayish.  
huF160AA,brown,brown,
huDECFEF,brown,dark brown with a hint of red,born with blonde hair
hu40FD50,brown,brown,
hu40FD50,brown,brown,
hu3C9326,brown,Dark brown,
huB6474D,blonde,Sandy blonde,
huBBDC10,brown,dark brown,born with dark brown hair - color never changed
huDA2757,brown,light brown,
huF33303,blonde,dirty blonde,"I was born with red hair, then it changed to white blonde, and it has gotten darker since."
huC678E8,brown,brown and grey,
huD2F14E,brown,Med Brown-Red undertown,Super fine hair but a ton of it. Naturally loose waves
huB4E868,brown,golden brown that in some light can appear reddish,My hair was darker when I was born. It became lighter and then in my 30s began to get darker again.
huB96844,brown,brown,I was born blonde.
hu092771,brown,dark brown,
huE02FAC,brown,brown,"I was born with a much blonder shade.  Also, I'm balding now.  The hair on my scalp is much softer than the hair in my beard.  I have multiple colors of hair in my beard as well, ranging from a few blond hairs, to light brown, to dark brown, to black, to red, to unfortunately now some white."
huD00199,brown,"brown to blonde, now gray",
huFE9B93,brown,"""Mousey"" brown?","My hair is curly, and I was blonde as a child"
hu569A8F,brown,wavy and slightly thick,
hu9B0A6D,gray,white with some dark brown,"light brown in youth, dark brown as a young adult"
huDAE2DF,white,white,
hu15CCF3,brown,"darker blonde, close to brown",very white hair until age 8.
hu522703,black,Black,
hu522703,black,,
huD758F7,brown,medium brown,
hu4FE0D1,brown,Light brown,I was blonde as a child.
huD419A3,brown,Light brown,
huA824FA,brown,Dark Brown,
hu6BF6F9,white,has dark strands going throu it,hair color as a child and medium brown
hu6BF6F9,,,
huD76A20,brown,Dark brown,
huA5B645,brown,Dark brown,"I was born with black hair which turned blond until I was 3 years old, when it became light brown which turned darker over the next 10 years. This pattern holds true with my 5 siblings (black -> blond -> brown). The younger three siblings kept their blond hair to various degrees, with the youngest remaining the blondest. All have dirty-blond or brown hair today as adults."
huB95FD7,brown,Dark brown,
huD85057,blonde,dark blond,was white blond until grade school
hu665667,brown,,
hu52B7E5,red,auburn,"My hair was much more red when I was younger, with more orange tones. It darkened during my twenties to a brownish red."
hu5C5920,white,Reddish,
huCF0C0F,brown,brown,
huD0D2F9,gray,,
huCB92AC,brown,medium golden ash brown,"I was essentially bald until I was over 2 years old, then my hair was very, very blond.  It darkened gradually throughout my life, but was clearly brown by high school.  It has darkened only a little since then."
hu0C8573,brown,Brown hair.,"I was born with lighter hair, but then it came to its senses during my childhood. My hair gets lighter when I spend a lot of time in the sun, and let me tell you something... My hair is super thick. I can't stand how hot my head gets, and I was in the Army, so I shave the sides of my head and keep the top just long enough to look damn good. My head gets super hot when I don't cut it at least once a week. I use Wahl clippers. Wahl is a good brand. Unfortunately I know of no brand of pillows that stay cool for when I forget to cut my hair."
hu983A64,brown,Medium brown,
hu0C0779,brown,Brown with red tones and blonde streaks,
huE35226,blonde,"dirty blond, people think it is brown indoors, and blonde in direct sunlight","Hair color has shifted over my lifetime just like my father.  I started life platinum blonde and was pretty intensely blonde until my early teens, I have been browning ever since and some people don't think I am blond at all any more.  I presume I am on the same path as my father, which means in about twenty more years I will be pretty decidedly brown - possibly even dark brown."
huF84457,blonde,Blonde salt & pepper,Blonde with grey throughout; predominantly grey at temples
huD8A898,brown,brown with some white,
hu919BE3,red,strawberry blonde--a blonded red,"My hair was dark whne I was born, turned bright blond, then gradually more reddish. My brother and father have bright red hair."
huED962A,gray,"mostly gray, some brown","I was born with ash, light to medium tone brown hair. Started graying at age 17. Mostly gray by thirties."
huB19789,brown,my hair is dark brown with natural golden highlights,
hu8ACB28,blonde,dark blonde/light brown,Hair was nearly white until puberty and darkened to nearly brown by age 20.
hu0739F4,red,"Curly, not coarse or overly fine. thickish.",Much more grey before chemo. More color now after chemo.
hu88F5BD,blonde,dark blond,
hu9E6329,brown,dark brown,
hu199EF4,blonde,Dark blonde,"Born with red hair, was light blonde as a child, have gotten darker with age.  It bleaches to a lighter blonde if I get enough sun."
hu84D25C,brown,Medium-dark brown. Auburn highlights in strong sun.,"A bit of grey now that I'm older. Due to male-pattern baldness, I just cut it all off now!"
hu5A306E,brown,"Light brown. However, my facial hair is sort of red.",
huAFA81C,brown,,
hu47CCA7,red,"Darker red, not orange-y",My hair was a lot lighter as a child but darkened around puberty.  
huD09534,brown,"very light brown (""mousy"")","I was born with white hair, and was VERY blond till my early twenties, but it doesn't describe my siblings so I don't know how to explain it"
hu4FE12A,black,black,
hu5D4AD0,brown,Soft and thin,"Actual hair is thin, but it is in abundance."
hu093F8B,brown,,
huF45021,brown,,
hu27340D,brown,brown (but red beard),"brown hair, reddish beard."
hu46528F,brown,light brown,"hair always been very fine, it is thinning some now @ 67 and not gone grey  but lost much of its color which makes it look light blond almost platinum, in the sun exposed areas of my head.  I do color it, the no-color makes me look pale.  "
hu77C5CB,white,mostly white with some original color left on back of head,I was born with white hair and it turned to a dishwater blonde as I aged and now it has gone back to being mostly white.
hu08334F,brown,Brown w/ hints of red,"Father has dark brown hair, mother has red hair.  My hair is medium brown and started graying in my 20's.  Now I'm about 25% gray (at age 50).  My beard is also brown but shows a much stronger red tone to it with some individual hairs appearing quite reddish."
hu474D66,black,Black,
hu0CA6C6,gray,Gray with white around the temples and some light brown in the top and back.,"When young, my hair was a dark blond. In my early 60s, the gray started appearing. "
hu7DAFF3,blonde,"Dark Blonde, nearly brown","I was born with light blonde hair, around puberty it had darkened to dark brown and as an adolescent it was a very dark blonde"
huDCF4FA,brown,,
huF21DD4,red,Copper orange,"I have very thick, very curly, orange coppery hair. "
huCE2801,brown,very fine,
huF421B2,brown,ash brown,"My hair was originally ash brown.  

It is now a warm salt and pepper with some gold highlights."
hu6664F3,,light brown/blonde,hair graying to white
hu92F8E1,,Light brown that bleaches in the sun to blonde,
huB746CE,blonde,,
huA939D6,brown,"thick, full, graying",No hair loss up to age 69 at least
hu9B82D1,brown,dark chestnut brown,hair has remained a constant color since birth
huDBF064,brown,light brown,
huB7D6B1,brown,Brown,Born with blond hair.
huC7AA8A,brown,light brown,
hu12D2A3,brown,dark brown,
hu77CC58,brown,,Blond hair at birth and through toddler years; slowly turned to dark brown over time.
huAF458E,brown,"reddish brown, now brown & gray","Born Blonde, got darker around age 8"
hu453E0E,brown,dark blonde to brown,I was born with very blonde hair which turned to dark blonde during puberty around the age of 11. It has gotten darker since and is now turning gray.
hu7E309A,brown,,
hu7719F7,,Brown with some light brown/blond and grey,
huDF9053,brown,Dark brown,
huD862CE,gray,Black & grey,Salt and pepper!
huA90CA9,blonde,Dark blonde,
hu73BFBC,blonde,dark golden blonde,"shock white blond hair from birth to puberty, gradually darkening through teenage years."
hu329CC4,blonde,Blonde,"Hair has darkened significantly with age, but still blonde."
huE7D8FA,brown,medium brown,"My hair has darkened as I have aged. It was very light brown as a kid, now it's a medium brown."
hu43294F,brown,It's dark brown ,My hair has always been dark brown...in the sun it will get slightly blonde on the ends and in the front. It also has a tendancy to look a little bit redish.
huD70430,brown,dark brown and grey/silver/white,
hu2F6B37,brown,straight,born with strawberry blonde hair
hu9E8595,gray,"strainght when shorter, wavy when longer",born with dark brown hair. texture was thick. at senior stage still have most of my hair. very fast growth.
hu26C7EE,brown,brown with blond high lights,"hair was blondish red most of childhood, changed to dark brown after giving birth to children"
hu26C7EE,brown,brown with blond high lights,"had blondish red hair until giving birth to 3 children, then hair turned dark brown"
hu5DE8CD,brown,medium brown,
huB33D36,black,Black,
huC3C30D,brown,it's light brown,
huF6B0B1,brown,Medium to dark brown,"I naturally have somewhat pronounced dark blonde highlights throughout my hair. My hair had much more red in it and was a little straighter when I was younger. My hair is very thick and curly. I have hair similar to my dad, and he didn't start getting gray hair until his mid 50s. He is now in his mid 60s and his hair is still about 85% brown with no pattern baldness. My paternal grandfather was the same way. "
hu54EEB2,brown,Brown hair. It turns very light brown in the summer.,Very thin hair shaft. Very straight. Extremely soft to the touch.
hu057C7D,gray,,
huD828D2,,Auburn,"My hair was much more red when I was young.  Now it's more ""auburn"", although I have very red facial/body hair.  Interestingly, I have basically none of the MC1R variants that 23andMe tests for.
"
hu1DD730,brown,very dark brown,It's brown so dark it's almost black.
huF58F40,,Golden light auburn/bronzish,"Hair was pink but turned platinum as a baby. Very thick, coarse hair."
huDCB7AA,brown,brown ,as a child i had blonde hair 
hu8B35DE,brown,course,"thick, wavy"
huF9F779,brown,"Dark brown, almost black but not quite","Definitely from my mother.  Dad has lighter brown, but mother had blackish-brown, Native American hair (from her father).  In different lighting, my hair can pass as black or brown, especially in photos.  Doesn't seem to get lighter when exposed to sun."
huFE71F3,red,bright red,
hu77957D,brown,Dark brown and shiny.,
hu7B4393,blonde,dark blonde,
hu99AC8D,black,black,
hu267A10,blonde,dirty blonde,"Born with very light blonde hair, darkened as I aged to a dirty blonde that undergoes considerable sun bleaching, ranging from a light brown to a mid-blonde."
huBE37B9,brown,brown turning gray,
huF33837,brown,Light brown/dark blonde with gold and red,born very light blonde. hair darkened with puberty and became light brown or dark blonde with gold and red highlights
hu1BF153,brown,,
huEE7BBB,brown,Medium mousy brown,I was born with blond hair. My hair is thick and fine textured.
hu79E3C7,brown,,
huE9E383,brown,,
huCB1DEA,red,Auburn,
hu0878AF,blonde,Reddish blond,"Blond when very young, red as pre-teen & teen, lightened to more strawberry blond as an adult."
huF629AC,brown,brown with reddish tint,hair was lighter at birth reddish brown to darker brown
hu283211,black,,
hu5CCE61,brown,brown with red highlights,
huFD37C8,brown,"Brown, slowly going grey",
hu57C9FD,brown,Brown,
hu36A660,brown,fairly dark brown,Started getting grey in my late 30s.
hu75FDE0,brown,,
huB6623D,blonde,dark blond,"Born with red hair, had very light blond hair as a child, hair color changed to dark blond in college, first gray hairs found in early 30's"
hu7D97DF,black,"soft and NO curly, very flat",
hu50B3F5,brown,"fine, curly",
huABC594,brown,light to medium brown,
hu014EFA,brown,Dark brown,
hu519DE2,brown,medium brown,"born with straight blonde hair, now frizzy medium brown"
huADF414,brown,,
hu0E1D27,blonde,dirty blonde,
huAD1375,brown,Brown,
hu2E179F,brown,Dark brown,
huC70CEE,gray,medium,dark blonde
huC70CEE,gray,"blonde to gray, salt and pepper",dark blonde
hu7A2F1D,,blond/gray/white,I was born with blond hair that turned to brown and started turning gray in my 50s and white in my 60s. My eyebrows are still brown but turning gray.
hu94040B,gray,"blonde, now gray",
hu888B13,brown,medium brown,born with very dark brown hair
hu1A8107,brown,dark brown,
hu1A8107,brown,dark brown,
hu21C2A6,brown,Dark brown,Was born with platinum blond hair.
hu46B1A0,brown,medium brown with some auburn undertones,
huC92BC9,black,,
hu3438DF,brown,dark brown,
hu87223B,brown,"dark brown, some grey","Hair was darker when I was younger, slightly lighter before I started going grey"
hu4BCE3C,black,,
huC73C2D,gray,Dark brown when dyed,Born with brown hair which I ad my entire life until it turned grey
hu9FCAF7,brown,,
huDAA62E,brown,"Light brown, or a very dark blonde","I was born with red hair, it's been light brown since then.

My hair also has two natural red highlights that grow at my temples."
hu20C798,gray,"Full, grey with more blackish tints on the top, and greyer on the sides","Almost black when I was 5 to 35, and more gery after that."
hu96959E,brown,dark brown,
hu48AC54,brown,bronze,
hu0DEE68,,,
huFF6AB4,blonde,"naturally, it would be ""dirty blonde"" with white/grey patches around the face","As a child my hair was very light blonde, but settled into a ""dirty blonde"" - lighter than brown, but darker than a natural blonde.   It has always sunbleached easily.   Now, of course, it has become very light grey - almost white - around my face. "
hu01EECF,,Currently dark brown with light highlights.,My natural hair color is a dark golden blonde. Depending on the season it looks darker brown or dark blonde with yellow highlights. 
huA3177D,,light brown with grey,"I was born with very light colored hair.  My mom used to say it was white.
Later it turned blonde and darkened as an adult."
huD80EF3,blonde,,
hu75F3D7,brown,Medium Brown,Darkened with age
huD37BAD,blonde,,
hu648431,brown,Light brown with blonde highlight in the side where it is finer hair,My facial hair has a red hue to it
hu2419F7,brown,"brown, thick, wavy",
huF194C8,blonde,"dirty blonde, whiter / reddish highlights in summer sun","Yes, strawberry blonde.  Was much brighter / lighter as a kid -- not white blonde, but much starker. Now it's richer with red, orange, brass highlights."
hu1C6DA9,blonde,Dirty blonde,
huFB87DF,white,gone from dk brown to white with dark gray strands,
huC2279C,brown,fair,
hu0B4653,blonde,Light blonde with highlights/lowlights,"My hair was white-blonde when I was born.
My hair is currently dyed red but my natural color is blonde."
hu1EF4CF,gray,salt & pepper' is a closer description,"Before turning grey, my facial hair had distinct areas of red/reddish brown coloration."
hu82AAD7,brown,medium-dark brown,"Born with curly blonde hair. I lost all my hair during chemotherapy as a toddler (diagnosed age 2, in remission since age 5, now 26). When it grew back, it was medium-brown and straighter. After pulling out some old photos, I would say that my hair is now darker than when I was a toddler (post-chemotherapy). If my hair starts to get long, it has a gentle curve to it, but it is not as curly as before chemotherapy."
huE6E6C9,brown,brown with natural auburn highlights,
huB828CB,black,Black greying very slightly,
hu96B7C3,gray,was once jet black now salt and pepper ,
hu979849,brown,Slight wave,Very fine & thin
huE81731,white,White,Started turning gray when I was 19.  Was dark brown.
hu02C8E3,brown,"dark brown, now with some gray","straight hair, generally darker when I was young"
hu3269F6,brown,Light Brown,"Born with Red hair until age 3, blonde hair from 3-16, then darkened to light brown."
huF99A55,black,black graying,
huE18D82,brown,,"Born blonde, had blonde hair until at least 5 years old."
hu4A9989,brown,brown,
hu9EDB77,blonde,Caramel Blonde,"When I was younger, my hair was very, very blonde... and as I have gotten older, it has gradually become darker / more brown."
hu7E6BE8,brown,Brown with some gray,
huD636DC,brown,,
huD0127A,brown,brown with some lighter streaks. This is currently mixed with white ,My hair was darker when I was a child
huD0127A,brown,brown with some lighter streaks. This is currently mixed with white ,White hair grows faster
hu4F3DB4,brown,Sandy blonde,
hu2FBC1E,gray,Grey with some dark brown,
hu49682A,brown,,Beard is reddish brown / gray
huECE756,red,reddish,Getting grayer
hu569BA6,brown,light ash brown,
hu1247AF,brown,,"I had very light blonde hair originally, it became brown throughout puberty"
huE670CB,brown,Medium Brown,My hair was much lighter as a child.
huE8AB10,brown,brown,
hu609D1E,brown,,"I started off a dirty blonde, but it gradually turned brown as I grew up. Upper half of beard still comes in a mixture of blonde and brown. Lower half is completely brown."
hu609D1E,brown,brownish,I was born with dirty blondish hair that gradually turned brown as I grew up. Mustache and cheeks come in partially blonde while rest of the beard comes in brown.
huA91EB4,blonde,Lt blonde with Daker blond mixed in and some grey mix,hair was very light when I was young.The use to call it towhead .
hu7D9CFA,black,hard coarse curly hair,"hard coarse curly hair, curls are big not like Africans"
hu7D9CFA,black,hard coarse curly hair,
huE9EECA,brown,brown,
huE17950,brown,light brown,"it was light blonde in childhood, but got darker with age and has been dyed "
hu5E164C,brown,Turning grey with patch at crown,Natural curl
hu63165B,brown,dark brown,
hu618103,gray,,
huC43685,black,black,
hu6791F6,brown,,
huE8554D,black,"Intensely, penetrating dark black",
hu5E8E50,brown,dark auburn,"My hair color when I was younger was closer to a jet black, and seemingly becomes lighter and redder as I get older."
hu005023,brown,dark brown,
hu81BCA8,brown,"Fine, light brown hair","Born with black hair that fell out and came back the lightest blonde.
Progressively got darker through childhood and into adulthood."
huAC827A,brown,,I was blond when I was little.
hu955EE1,brown,Light brown,"My hair has gone white on the sides of my head. (All the males on my father's side of the family eventuallly go completely white.) On the top it is a mix of white and light brown hair.

When I was younger, (especially in my beard) there was always a number of black hairs and the occasional red hair interspersed with the light brown.
"
huE9130A,brown,light brown,hair lightens considerably in the sun.
hu868880,red,Reddish Brown,"photos from my childhood show my hair was very blond and it was often described to me as 'strawberry blonde'... as i've gotten older it has gotten darker. my eyebrows are very blonde, my arm hair is very blonde, but the hair on the rest of my body is darker. and the hair on my head is fairly tinged with grey."
huF7B0CD,brown,course curly,"Born with red hair, had red hair until age 5 then hair turned brown"
huA433CD,gray,"salt and pepper brown, blonde, grey and a little red","hair went from blonde as child to darker brown, and is multi-colored"
huA433CD,gray,"multi-colored, brown, blonde, grey, black, red",
hu64A49C,blonde,dusty blonde,very light blonde (almost light yellow/white) as a child - started to change to dusty/dirty blonde during adolescence and color has remained the same throughout adulthood
hu9D75D9,brown,Dark Brown with red highlights and some solidly red hairs,
hu52A2CC,brown,Ashy brown with blonde and red,
hu531522,brown,Copper red undertones.  Turns fiery red in the sun.,
hu53E02A,brown,"very thin, straight",
hu5A38F5,brown,MEDIUM BROWN,MY HAIR HAS ALWAYS BEEN A SHADE OF BROWN IT WAS DARKER ALMOST BLACK WHEN I WAS BORN
huEAA391,brown,Brown with some grays coming in mostly in temples,I was blonde for first few years of life
hu2F80FC,black,graying,
huD23DC7,brown,brown hair,I was born with jet black hair
huBFC13E,brown,,
hu4EEA9B,brown,"It used to be much lighter, and since middle school, has darkened severely to a near black.","I have double cowlicks on the crown of my head.  My hair has always been very thin/fine.  It is relatively straight, except for the cowlicks."
hu4EEA9B,brown,Dark brown - near black.,"Hair was lighter when I was young.  About middle school to high school timeframe, the color began to darken.  I have several strands that are different colors.  From some that have been blonde in appearance, to red.  Overall, my hair is very dark, to a near black at it's current state.  During high school, I began to notice a few grey strands.  Also, at the crown of my scalp, there are two opposing-direction cowlicks (double cowlick).  Fine, thin hair.  Body hair is almost nonexistent.  Pores are very effective at keeping me running cool, and is likely because of my lack of being hairy.  Perhaps some research into that subject would benefit science.  Hairy creatures generally have to pant to relieve body heat due to lack of sweat glands, perhaps less hair equals more (or more effective) sweat glands.  I do sweat very frequently."
huDBDF82,white,white,I had brown hair. First whites in grade school.  White stripe by graduate school.  Almost all white at 40
huDBDF82,white,white,I had dark brown hair starting  to get white in high school.  By graduate school I had a white streak in front.  Almost all white by 40.
huC03A63,blonde,"""Dirty"" Blonde",That's what people told me when I was younger.
hu4C3094,brown,medium brown,
hu9925B4,brown,dark brown,born with very light brown/blonde hair
hu1C3ACB,brown,Dark brown ,Hair dark brown at birth. Had a red tint during preschool ages. Turned dark brown by school age & has not changed color. 
huAD6C57,blonde,blond,
hu4623CD,brown,dark brown starting to gray,Wavy when short curly ringlets when long. Soft and healthy
huDE8ACB,brown,Brown with red and blond,Blonde until age twelve then darkened
hu297A5D,blonde,dirty blonde,"Platinum blonde as a young child, darkened to dirty blonde in elementary school. Remains dirty blonde in adulthood."
huFB4F9E,,"darker at the roots where it's a light auburn brown and the more it's exposed to sun the lighter it gets, so starting about 2"" from the roots it becomes more of a strawberry blonde, a mix of gold and copper with no ash coloring","I was born with very red hair and it stayed that way until about puberty. Afterwards it was a medium blonde for years until I started having my 4 kids, with each baby it changed slightly, and unpredictably."
huCDD5EE,white,"White, ex redhead","Bright red up till my forties, strawberry, then lighter & lighter, until white."
huDE536F,brown,dark brown with significant gray line,
huB0DE0F,brown,light brown/dark blonde,Born very light blonde-when I went on low thyroid meds it grew out darker than previous.
hu8209C4,blonde,dark blonde,
hu152E96,brown,dark brown,
hu55889F,brown,light brown,
hu77BAD2,brown,Medium brown,"My hair was dirty blonde at birth, and gradually darkened with age"
hu37161B,brown,Dark brown,My hairline seemed to recede an inch or less at about age 18 and not much since that time.  I still have most of my hair.
huDD5D00,brown,Dark brown with auburn highlights. ,Was much darker when I was younger - almost black. Now it seems to be a lighter hue of dark brown and I'm finding a few white hairs already (probably due to stress).
hu741459,blonde,,
huBE7BAD,brown,brown,"my hair was light blonde until I was 7 or 8. then people described it as ""dirty blonde"" for a lot of years, and now it's unambiguously just brown. I have some streaks that showed dark when my hair was light and showed light when my hair got darker, but i think the streaks were always the same color. they were visible enough on my scalp when i was an infant that hospital staff thought it was vernix and tried to scrub them off. when i shaved my head in my teens i could still see the stripes on my head, but when i shaved it this summer I couldn't see them. I do still get asked if I bleached highlights in even though I can't find the blonde streaks when i look in the mirror.

my beard is a mix of brown, blonde, red, silver, and black"
hu2735B0,brown,,
hu9C5D3F,brown,Salt and pepper,
huB4DBD7,blonde,Dirty Blonde,
huE0E689,brown,"Medium brown with red tints, starting to have gray patches around face",My hair was reddish light brown as a child.
hu346673,brown,Brown with a little gray,
hu01FB26,brown,"dark brown, almost black",Was born with blonde hair. Slowly darkened through adolescence.
hu01FB26,brown,"dark brown, almost black",Blonde at birth. Slowly darkened through adolescence.
huC3ACB0,brown,"medium brown, gold highlights","Hair is normal (not overly oily or dry). Texture is mostly straight, with waviness. Color is 4.3 according to ICC numbering system. Bleaches and dyes easily."
